id,code,name,family,general_material_id,classification_kind,flow_scope,tracks_patio_stock,allows_direct_entry,allows_transformation_output,allows_sale,is_active,sort_order,notes,created_at,updated_at
252db7e0-510d-4c93-9a4c-0a0c95a8289a,REVUELTO,REVUELTO,fiber,97e156d5-3719-4083-885c-e6a25af94015,general_input,IN,f,t,f,f,f,600,"Entrada comercial que suma a PAPEL","2026-03-13 19:39:38.720229+00","2026-03-20 02:45:47.518267+00"
ae94bd31-f321-449b-9dc5-fc021307423a,BOTE_DE_ALUMINIO,"BOTE DE ALUMINIO",other,a3b39add-83a8-4b9e-92db-242b2b852a40,classified_stock,BOTH,t,t,t,t,t,100,,"2026-03-20 16:10:03.7706+00","2026-03-20 16:10:03.7706+00"
f51adf9d-1e04-4b45-a996-74b217b499fa,ACERO_CHATARRA,"ACERO CHATARRA",other,4c7a25df-991f-4443-9269-4e853df6fed3,classified_stock,BOTH,t,t,t,t,t,100,,"2026-03-20 16:21:11.728248+00","2026-03-20 16:21:11.728248+00"
261d3133-a8aa-4466-9e39-008f8fbe0386,RACKS,RACKS,other,4c7a25df-991f-4443-9269-4e853df6fed3,classified_stock,BOTH,t,t,t,t,t,100,,"2026-03-20 16:22:27.849135+00","2026-03-20 16:22:27.849135+00"
1e1f9dce-db72-4390-b6f4-fa249c4caa2a,RIGIDO,RIGIDO,other,6a15cf8a-9064-49a4-8795-946591fee553,classified_stock,BOTH,t,t,t,t,t,100,,"2026-03-20 16:32:43.387209+00","2026-03-20 16:32:43.387209+00"
3e265cbb-835e-4164-8dc4-367758565aa1,METAL_GENERAL,"METAL GENERAL",other,a3b39add-83a8-4b9e-92db-242b2b852a40,classified_stock,BOTH,t,t,t,t,t,100,,"2026-03-20 16:34:35.086891+00","2026-03-20 16:34:35.086891+00"
4da083ff-fdc4-417a-8437-941bd54166c5,BOND,BOND,other,97e156d5-3719-4083-885c-e6a25af94015,classified_stock,BOTH,t,t,t,t,t,100,,"2026-03-20 22:01:43.730704+00","2026-03-20 22:01:43.730704+00"
04003655-3d88-4314-8af0-949ca8caf81c,GRANEL,GRANEL,other,88c788cd-06c8-43a9-b429-aba0c440f2f4,classified_stock,BOTH,t,t,t,t,f,100,,"2026-03-20 20:33:56.778862+00","2026-03-20 22:05:50.34447+00"
8905e0f6-2007-4234-8be8-e09471c0ae25,PIEZA_MADERA,"PIEZA MADERA",other,ecc6f380-5996-43ba-87b1-d751882974d8,classified_stock,BOTH,t,t,t,t,f,100,,"2026-03-23 15:51:21.405448+00","2026-03-23 15:53:13.672899+00"
70dbb8a3-877f-44b0-bda5-e5e2e30268ce,MADERA_PIEZA,"MADERA PIEZA",other,4c7a25df-991f-4443-9269-4e853df6fed3,classified_stock,BOTH,t,t,t,t,t,100,,"2026-03-23 15:55:00.349727+00","2026-03-23 15:55:00.349727+00"
a259e506-5392-44ba-906a-fa445e4d7d1c,CAJA_CARTOR,"CAJA CARTON",other,88c788cd-06c8-43a9-b429-aba0c440f2f4,classified_stock,BOTH,t,t,t,t,t,100,,"2026-03-23 15:47:54.050613+00","2026-03-23 20:30:27.62188+00"
