allows_direct_entry,allows_sale,allows_transformation_output,classification_kind,code,created_at,family,flow_scope,general_material_id,id,is_active,name,notes,sort_order,tracks_patio_stock,updated_at
True,True,True,classified_stock,PIERDAS_PORCELANA,2026-04-02T21:34:38.461899+00:00,other,BOTH,4c7a25df-991f-4443-9269-4e853df6fed3,5315508f-7a72-4f9a-a19b-c3ac5f1946b8,True,PIERDAS PORCELANA,,100,True,2026-04-02T21:34:38.461899+00:00
True,True,True,classified_stock,BOLSA_PLASTICO,2026-04-07T21:30:38.59926+00:00,other,BOTH,88c788cd-06c8-43a9-b429-aba0c440f2f4,8add190e-1e04-469c-810c-29240edd853e,True,BOLSA PLASTICO,,100,True,2026-04-07T21:30:38.59926+00:00
True,True,True,classified_stock,TUBO_DE_CARTON,2026-04-21T16:22:59.040985+00:00,cardboard,BOTH,88c788cd-06c8-43a9-b429-aba0c440f2f4,8ff0d8da-e175-4078-bbb0-36d1c16c45f7,True,TUBO DE CARTON,,100,True,2026-04-21T16:22:59.040985+00:00
True,True,True,classified_stock,CARTON_SCREEN,2026-04-21T16:27:57.782621+00:00,other,BOTH,88c788cd-06c8-43a9-b429-aba0c440f2f4,c9ea5808-9617-4d88-bcea-7d14f8255c74,True,CARTON SCREEN,,100,True,2026-04-21T16:27:57.782621+00:00
True,True,True,classified_stock,CARTON_RECOGIDO,2026-04-21T16:28:11.481952+00:00,other,BOTH,88c788cd-06c8-43a9-b429-aba0c440f2f4,e6e10dfe-a92d-41c4-b7e6-0ef3cc758cb6,True,CARTON RECOGIDO,,100,True,2026-04-21T16:28:11.481952+00:00
True,True,True,classified_stock,COBRE,2026-04-21T16:51:25.206566+00:00,other,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,be963b16-9d70-435a-a5bd-7c2f2792edda,True,COBRE,,100,True,2026-04-21T16:51:25.206566+00:00
True,True,True,classified_stock,RADIADOR_DE_BRONCE,2026-04-21T16:51:55.588471+00:00,other,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,e6d2893f-05f0-4afe-81d1-e6ff0ffbd236,True,RADIADOR DE BRONCE,,100,True,2026-04-21T16:51:55.588471+00:00
True,True,True,classified_stock,RADIADOR_CHICO,2026-04-21T16:52:12.674928+00:00,other,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,ec4b581e-c8ef-475e-b0cc-6173ecbc60c5,True,RADIADOR CHICO,,100,True,2026-04-21T16:52:12.674928+00:00
True,True,True,classified_stock,MOTOR,2026-04-23T17:05:37.791929+00:00,other,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,06e6db59-4add-4a52-8389-91e411440738,True,MOTOR,,100,True,2026-04-23T17:05:37.791929+00:00
True,True,True,classified_stock,TAMBO_PLASTICO,2026-04-23T17:06:22.792645+00:00,other,BOTH,6a15cf8a-9064-49a4-8795-946591fee553,26983015-fb33-497d-afbb-5d88ffe68232,True,TAMBO PLASTICO,,100,True,2026-04-23T17:06:22.792645+00:00
True,True,True,classified_stock,LONA,2026-04-23T17:06:59.56074+00:00,other,BOTH,6a15cf8a-9064-49a4-8795-946591fee553,17ae3fb5-413b-45c0-973d-a653599efdb3,True,LONA,,100,True,2026-04-23T17:06:59.56074+00:00
